state,subunitID,candidateID,candidateName,voteCount
AR,05005,AR13758,West,72
AR,05005,AR13754,Hawkins,42
AR,05005,AR13757,Pierce,41
AR,05005,AR13769,Collins,30
AR,05005,AR13750,Carroll,27
AR,05005,AR13755,De La Fuente,24
AR,05005,AR13756,Gammon,16
AR,05005,AR13759,Myers,11
AR,05005,AR13752,La Riva,10
AR,05007,AR12686,Trump,73605
AR,05007,AR13356,Biden,41894
AR,05007,AR13753,Jorgensen,1956
AR,05007,AR13758,West,323
AR,05007,AR13754,Hawkins,274
AR,05007,AR13757,Pierce,271
AR,05007,AR13750,Carroll,170
AR,05007,AR13755,De La Fuente,149
AR,05007,AR13751,Blankenship,115
AR,05007,AR13769,Collins,114
AR,05007,AR13752,La Riva,103
AR,05007,AR13756,Gammon,102
AR,05007,AR13759,Myers,90
AR,05009,AR12686,Trump,13644
AR,05009,AR13356,Biden,3061
AR,05009,AR13753,Jorgensen,153
AR,05009,AR13754,Hawkins,55
AR,05009,AR13758,West,39
AR,05009,AR13750,Carroll,37
AR,05009,AR13769,Collins,22
AR,05009,AR13756,Gammon,21
AR,05009,AR13757,Pierce,20
AR,05009,AR13751,Blankenship,17
AR,05009,AR13759,Myers,13
AR,05009,AR13755,De La Fuente,12
AR,05009,AR13752,La Riva,9
AR,05011,AR12686,Trump,2332
AR,05011,AR13356,Biden,1208
AR,05011,AR13753,Jorgensen,32
AR,05011,AR13758,West,15
AR,05011,AR13752,La Riva,14
AR,05011,AR13769,Collins,10
AR,05011,AR13757,Pierce,10
AR,05011,AR13751,Blankenship,8
AR,05011,AR13750,Carroll,6
AR,05011,AR13754,Hawkins,4
AR,05011,AR13759,Myers,4
AR,05011,AR13756,Gammon,1
AR,05011,AR13755,De La Fuente,0
AR,05013,AR12686,Trump,1609
AR,05013,AR13356,Biden,467
AR,05013,AR13753,Jorgensen,16
AR,05013,AR13758,West,12
AR,05013,AR13757,Pierce,9
AR,05013,AR13754,Hawkins,8
AR,05013,AR13769,Collins,6
AR,05013,AR13756,Gammon,4
AR,05013,AR13750,Carroll,3
AR,05013,AR13755,De La Fuente,3
AR,05013,AR13751,Blankenship,2
AR,05013,AR13752,La Riva,2
AR,05013,AR13759,Myers,2
AR,05015,AR12686,Trump,7352
AR,05015,AR13356,Biden,3941
AR,05015,AR13753,Jorgensen,99
AR,05015,AR13754,Hawkins,47
AR,05015,AR13758,West,39
