ward,precinct,votes,Biden,Trump,Hawkins,LaRiva,Carroll,Jorgensen
,18,370,342,22,5,1,0,0
,19,388,370,13,1,3,0,1
,20,329,314,11,4,0,0,0
,21,319,295,18,4,0,1,1
,22,357,334,20,2,1,0,0
,23,381,370,10,0,0,1,0
,24,345,325,16,1,1,2,0
,25,360,318,34,3,2,3,0
,26,313,294,16,1,2,0,0
,27,337,327,4,3,0,0,3
,28,324,298,20,4,1,0,1
,29,363,344,15,3,0,0,1
,30,330,306,21,1,0,1,1
,31,303,271,27,2,1,1,1
,32,493,472,19,1,1,0,0
,33,492,474,15,2,1,0,0
,34,472,452,14,5,1,0,0
,35,443,418,20,2,2,0,1
,36,487,466,18,2,1,0,0
,37,424,398,22,3,1,0,0
,38,350,338,9,1,1,0,1
,39,366,358,7,1,0,0,0
,40,338,327,7,2,0,0,2
,41,381,367,10,1,0,1,2
,42,369,361,7,0,0,1,0
,43,383,366,15,1,0,0,1
,44,352,335,11,2,2,2,0
,45,449,424,19,0,0,5,1
,46,168,160,5,2,1,0,0
8,1,308,292,10,4,1,0,1
,2,393,375,15,0,0,3,0
,3,448,437,7,3,0,1,0
,4,441,431,7,2,0,0,1
,5,412,399,7,4,2,0,0
,6,397,377,17,2,1,0,0
,7,459,432,25,0,1,1,0
,8,397,381,13,1,0,0,2
,9,262,253,9,0,0,0,0
,10,496,475,17,2,1,0,1
,11,341,322,13,3,1,2,0
,12,377,356,19,0,1,1,0
,13,481,459,16,4,0,0,2
,14,381,360,15,1,3,0,2
,15,406,383,16,3,1,0,3
,16,143,133,9,1,0,0,0
,17,357,344,7,3,1,1,1
,18,412,387,24,1,0,0,0
,19,441,423,16,2,0,0,0
,20,474,457,12,1,3,0,1
,21,535,514,18,2,0,0,1
,22,379,357,15,3,3,0,1
,23,360,348,10,1,0,1,0
,24,245,235,7,2,0,1,0
,25,428,400,24,0,2,2,0
,26,402,387,11,1,1,0,2
,27,468,444,21,2,0,1,0
,28,389,372,15,1,1,0,0
,29,449,428,14,5,1,0,1
,30,449,429,14,4,0,0,2
,31,333,316,14,1,1,0,1
,32,336,324,9,1,1,0,1
,33,349,333,12,2,1,1,0
,34,399,388,10,0,1,0,0
,35,478,457,14,4,0,0,3
,36,413,400,8,1,2,1,1
,37,317,308,6,2,1,0,0
,38,322,317,4,0,0,1,0
,39,424,411,7,4,1,0,1
,40,351,341,9,0,0,0,1
,41,466,447,15,3,0,1,0
,42,543,523,16,2,0,0,2
,43,246,227,15,2,2,0,0
,44,328,313,10,1,1,1,2
